#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                k_x (rlu)          k_y (rlu)          k_z (rlu)
#
       0.00000000        -18.2100792        -5.84630823        -1.29197872        -1.29868782         6.54921770         7.07676983         7.03318930         8.17692471         0.00000000         0.00000000         0.00000000     [G]
      0.21938773E-01     -18.206099         -5.8402286         -1.3116642         -1.3052287          6.5587926          7.0801830          7.0408440          8.1842527         0.14285713E-01     0.46566129E-09      0.0000000    
      0.43877546E-01     -18.194170         -5.8245311         -1.3636087         -1.3289275          6.5850530          7.0931711          7.0620456          8.2011070         0.28571427E-01     0.93132257E-09      0.0000000    
      0.658163205E-1     -18.1743107        -5.80325127        -1.44152176        -1.37059927         6.62230015         7.12175465         7.09555244         8.22894955        0.428571440E-1    -0.186264515E-8      0.00000000   
      0.877550915E-1     -18.1465435        -5.76925755        -1.55446303        -1.42603457         6.66311741         7.17213631         7.14117527         8.27461243        0.571428537E-1     0.186264515E-8      0.00000000   
      0.109693870        -18.1109142        -5.71830177        -1.70801544        -1.49092937         6.71536303         7.23724365         7.19771242         8.33189869        0.714285746E-1      0.00000000         0.00000000   
      0.131632641        -18.0674744        -5.65715981        -1.88915741        -1.56803668         6.78797150         7.30701065         7.27055883         8.39888000        0.857142881E-1    -0.372529030E-8      0.00000000   
      0.153571412        -18.0162907        -5.58825016        -2.08914781        -1.65983367         6.87985325         7.38116741         7.36069822         8.47915840        0.100000001         0.00000000         0.00000000   
      0.175510183        -17.9574471        -5.50881338        -2.30970955        -1.76333749         6.98380804         7.46871090         7.45896387         8.57250786        0.114285707        0.372529030E-8      0.00000000   
      0.197448969        -17.8910408        -5.41777325        -2.54942727        -1.87698650         7.09077883         7.57862806         7.56458044         8.67960644        0.128571436         0.00000000         0.00000000   
      0.219387740        -17.8171921        -5.31722260        -2.80745173        -1.99555671         7.21047783         7.69883204         7.68788433         8.79593468        0.142857149         0.00000000         0.00000000   
