#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                k_x (rlu)          k_y (rlu)          k_z (rlu)
#
       0.00000000        -17.6316948        -5.30004072        -1.29466701        -1.29688847         4.84332228         5.77001524         6.08480263         7.00925446         0.00000000         0.00000000         0.00000000     [G]
      0.21938773E-01     -17.627716         -5.2939610         -1.3143553         -1.3034207          4.8528919          5.7734284          6.0924768          7.0165701         0.14285713E-01     0.46566129E-09      0.0000000    
      0.43877546E-01     -17.615788         -5.2782636         -1.3662940         -1.3271129          4.8791552          5.7864027          6.1136923          7.0333862         0.28571427E-01     0.93132257E-09      0.0000000    
      0.658163205E-1     -17.5959263        -5.25698376        -1.44418156        -1.36879921         4.91642666         5.81495047         6.14717150         7.06116915        0.428571440E-1    -0.186264515E-8      0.00000000   
      0.877550915E-1     -17.5681591        -5.22299004        -1.55708694        -1.42426085         4.95728016         5.86530590         6.19276524         7.10676718        0.571428537E-1     0.186264515E-8      0.00000000   
      0.109693870        -17.5325317        -5.17203426        -1.71060407        -1.48917663         5.00955629         5.93043470         6.24932671         7.16399908        0.714285746E-1      0.00000000         0.00000000   
      0.131632641        -17.4890919        -5.11089182        -1.89170957        -1.56630051         5.08218575         6.00025702         6.32224512         7.23092222        0.857142881E-1    -0.372529030E-8      0.00000000   
      0.153571412        -17.4379082        -5.04198265        -2.09165192        -1.65812361         5.17409134         6.07444906         6.41245413         7.31111240        0.100000001         0.00000000         0.00000000   
      0.175510183        -17.3790646        -4.96254587        -2.31214738        -1.76166892         5.27807903         6.16199398         6.51075792         7.40433741        0.114285707        0.372529030E-8      0.00000000   
      0.197448969        -17.3126583        -4.87150574        -2.55178261        -1.87536991         5.38509464         6.27191210         6.61638737         7.51129961        0.128571436         0.00000000         0.00000000   
      0.219387740        -17.2388077        -4.77095461        -2.80971408        -1.99399805         5.50484610         6.39213991         6.73968649         7.62749338        0.142857149         0.00000000         0.00000000   
      0.241326511        -17.1576538        -4.66735506        -3.07959914        -2.11359811         5.64872980         6.51112509         6.88048172         7.75004768        0.157142848        0.745058060E-8      0.00000000   
      0.263265282        -17.0693588        -4.55291319        -3.36106300        -2.23871136         5.79804373         6.64808321         7.03003407         7.88487101        0.171428576       -0.745058060E-8      0.00000000   
      0.285204053        -16.9741058        -4.40681934        -3.67461872        -2.36625648         5.94560862         6.80768251         7.19189692         8.03239155        0.185714290       -0.745058060E-8      0.00000000   
      0.307142824        -16.8721218        -4.27800369        -3.97070932        -2.49375558         6.10845709         6.97146368         7.36990976         8.18453789        0.200000003         0.00000000         0.00000000   
      0.329081595        -16.7636662        -4.31318283        -4.09924841        -2.62172771         6.29609966         7.12928486         7.55923462         8.33677959        0.214285716         0.00000000         0.00000000   
      0.351020366        -16.6490345        -4.55870819        -4.01900816        -2.74246430         6.50151443         7.28212976         7.76178408         8.48488903        0.228571415        0.745058060E-8      0.00000000   
      0.372959137        -16.5285816        -4.89758968        -3.84100389        -2.85961366         6.71142960         7.43544626         7.97876358         8.61284351        0.242857143         0.00000000         0.00000000   
      0.394897938        -16.4027195        -5.23178387        -3.63165998        -3.00271654         6.91109324         7.59113979         8.20124912         8.70912170        0.257142872         0.00000000         0.00000000   
      0.416836709        -16.2719345        -5.55234241        -3.42252874        -3.14732051         7.12763739         7.69024992         8.43671227         8.77797031        0.271428585         0.00000000         0.00000000   
      0.438775480        -16.1367989        -5.86512423        -3.30938745        -3.19015098         7.36709881         7.68758154         8.69188118         8.85507679        0.285714298         0.00000000         0.00000000   
      0.460714251        -15.9979887        -6.17096853        -3.34023333        -3.08094168         7.49696398         7.70129251         8.94211388         8.99915886        0.300000012         0.00000000         0.00000000   
      0.482653022        -15.8563061        -6.47527170        -3.44326305        -2.88487101         7.41076946         7.85626268         9.17555523         9.22858429        0.314285696        0.149011612E-7      0.00000000   
      0.504591823        -15.7126989        -6.77449036        -3.54236579        -2.68055940         7.18384886         8.10622025         9.41382980         9.50998592        0.328571439         0.00000000         0.00000000   
      0.526530623        -15.5682955        -7.06174898        -3.62777352        -2.48381209         6.91426992         8.37444305         9.67314816         9.80986023        0.342857152       -0.149011612E-7      0.00000000   
      0.548469424        -15.4244375        -7.33748579        -3.71052170        -2.28253651         6.63930511         8.63392639         9.96217823         10.1034069        0.357142866       -0.149011612E-7      0.00000000   
      0.570408225        -15.2827101        -7.59998798        -3.79157424        -2.07709503         6.36387300         8.88281822         10.2715635         10.3714914        0.371428579       -0.149011612E-7      0.00000000   
      0.592347026        -15.1449795        -7.84506893        -3.86518073        -1.87730849         6.08906031         9.11853218         10.5524836         10.6303787        0.385714293        0.149011612E-7      0.00000000   
      0.614285827        -15.0134192        -8.07103062        -3.92950559        -1.68691516         5.82729483         9.32567406         10.7656021         10.9304924        0.400000006         0.00000000         0.00000000   
      0.636224627        -14.8905163        -8.27681923        -3.98542047        -1.50668204         5.58579302         9.49342346         10.9560862         11.2777128        0.414285690        0.149011612E-7      0.00000000   
      0.658163428        -14.7790442        -8.46236420        -4.02869654        -1.34193087         5.36271429         9.62292194         11.1869373         11.6396780        0.428571433         0.00000000         0.00000000   
