E[1] [eV],Im(eps)_ecutwfc_30,Im(eps)_ecutwfc_40,Im(eps)_ecutwfc_50,Im(eps)_ecutwfc_60,Im(eps)_ecutwfc_70,Im(eps)_ecutwfc_80,Im(eps)_ecutwfc_90,Im(eps)_ecutwfc_100
5.000000,1.16421900,1.06978800,1.05716900,1.07302500,1.07902600,1.08067500,1.08079800,1.08077700
5.037593,1.33863800,1.20105700,1.17975800,1.20732600,1.21818600,1.22114600,1.22136300,1.22132600
5.075188,1.51799400,1.39738100,1.37280800,1.40037100,1.41095300,1.41389700,1.41411200,1.41407300
5.112782,1.57934900,1.53754400,1.52142700,1.52728600,1.52924800,1.53001100,1.53007000,1.53005600
5.150376,1.51850700,1.52994700,1.52446600,1.50963800,1.50391700,1.50264000,1.50255200,1.50256100
5.187970,1.39037200,1.41207600,1.41660700,1.39307800,1.38415900,1.38189100,1.38172900,1.38174900
5.225564,1.26972600,1.26876700,1.27696000,1.25765200,1.25085600,1.24908800,1.24896200,1.24897800
5.263157,1.20924300,1.18357000,1.19073100,1.18128200,1.17865900,1.17795300,1.17790800,1.17791100
5.300752,1.19612900,1.15629200,1.16576600,1.16252100,1.16285400,1.16287400,1.16288800,1.16288500
5.338346,1.25955000,1.18449700,1.19663000,1.20344400,1.20880800,1.21013700,1.21025400,1.21023500
5.375940,1.45640400,1.32142900,1.33497300,1.35914400,1.37254100,1.37596600,1.37624600,1.37620000
5.413534,1.79696000,1.60233800,1.61820100,1.66036900,1.68125800,1.68660900,1.68703400,1.68696500
5.451128,2.17187300,1.97041700,1.98796700,2.03290900,2.05241100,2.05738200,2.05776700,2.05770400
5.488721,2.38356600,2.24212300,2.25400000,2.27629800,2.28306200,2.28481800,2.28494100,2.28491800
5.526316,2.38823400,2.29998900,2.29422500,2.28554800,2.27968400,2.27835300,2.27824000,2.27824800
5.563910,2.31306600,2.20618700,2.18198400,2.15860900,2.14981700,2.14795800,2.14781200,2.14782000
5.601503,2.28707100,2.12464400,2.09872500,2.08734800,2.08561200,2.08564700,2.08564900,2.08563300
5.639097,2.30516500,2.15648100,2.14015100,2.14155800,2.14468200,2.14589600,2.14598200,2.14595800
5.676692,2.29152600,2.21768800,2.20813400,2.20756000,2.20852400,2.20912100,2.20915600,2.20914500
5.714285,2.21127600,2.21861300,2.20682500,2.19808300,2.19416700,2.19344700,2.19338400,2.19339200
5.751880,2.04276400,2.12205200,2.10429700,2.08665000,2.07850400,2.07667400,2.07653100,2.07655600
5.789474,1.90785500,1.97790400,1.96228900,1.95062700,1.94529100,1.94420300,1.94411600,1.94413400
5.827067,1.87469100,1.89814800,1.88608800,1.88108300,1.87854900,1.87807200,1.87803000,1.87803900
5.864661,1.82158400,1.83926200,1.82184000,1.80986400,1.80478800,1.80346800,1.80336500,1.80338100
5.902255,1.68157700,1.72185000,1.70255300,1.68717800,1.68114300,1.67942300,1.67929500,1.67931800
5.939849,1.54643200,1.59233800,1.57983500,1.56961800,1.56591200,1.56468800,1.56460000,1.56461900
5.977444,1.47627200,1.50805300,1.50184000,1.49633600,1.49504200,1.49443900,1.49440000,1.49441100
6.015037,1.45272600,1.47132900,1.47280100,1.47284900,1.47399800,1.47408600,1.47409700,1.47410100
6.052631,1.45222800,1.46901100,1.47800400,1.47862800,1.47916600,1.47922000,1.47922600,1.47923000
6.090225,1.44628200,1.46216400,1.46652900,1.45975200,1.45730700,1.45676100,1.45672100,1.45672800
6.127820,1.41301000,1.42630000,1.41652300,1.39937600,1.39340800,1.39201100,1.39190700,1.39191800
6.165413,1.31446100,1.33281500,1.30319600,1.27321400,1.26311000,1.26067600,1.26049600,1.26051400
6.203007,1.16204900,1.17802800,1.14158500,1.11379600,1.10505200,1.10293600,1.10277900,1.10279500
6.240601,1.02895200,1.04045700,1.01323300,0.99603100,0.99058400,0.98921800,0.98911700,0.98912900
6.278195,0.93931100,0.94298600,0.91967400,0.90534300,0.89992100,0.89859100,0.89849500,0.89850700
6.315789,0.85535100,0.84942700,0.83029200,0.81994900,0.81563800,0.81465600,0.81458400,0.81459500
6.353383,0.79126200,0.78297400,0.77805600,0.77931000,0.77921500,0.77924800,0.77925000,0.77925500
6.390977,0.78660300,0.78158900,0.79197000,0.80497000,0.80881500,0.80973800,0.80980500,0.80980300
6.428571,0.82910600,0.83118200,0.84734000,0.86205600,0.86573800,0.86655100,0.86661000,0.86661000
6.466165,0.85844400,0.86899700,0.87770200,0.88109500,0.88048100,0.88024200,0.88022400,0.88023100
6.503759,0.83612900,0.84519200,0.83765500,0.82358900,0.81774900,0.81631100,0.81620600,0.81621800
6.541353,0.75580700,0.75393900,0.73581900,0.71468300,0.70765700,0.70602700,0.70590800,0.70592000
6.578947,0.64832600,0.64897100,0.63795000,0.62670700,0.62299200,0.62215100,0.62208800,0.62209600
6.616541,0.57146100,0.58869000,0.59197900,0.59639700,0.59733300,0.59751200,0.59752300,0.59752700
6.654135,0.55052600,0.58818400,0.60521400,0.62082600,0.62532200,0.62626100,0.62632800,0.62632900
6.691729,0.58434600,0.63517000,0.65648700,0.67303300,0.67756800,0.67854000,0.67861200,0.67861100
6.729323,0.65137300,0.69115800,0.70368300,0.71433400,0.71663200,0.71716000,0.71720000,0.71719900
6.766917,0.70251000,0.71750500,0.72361900,0.72876800,0.72940500,0.72958000,0.72959200,0.72959400
6.804511,0.71090100,0.71743600,0.72754100,0.73064200,0.73098900,0.73111100,0.73111700,0.73111900
6.842104,0.71098100,0.72109800,0.72855100,0.72397500,0.72187400,0.72142800,0.72139400,0.72139600
6.879699,0.71765300,0.70745000,0.69114500,0.67106000,0.66444100,0.66295100,0.66285000,0.66285500
6.917293,0.67753800,0.63288100,0.59909200,0.57269700,0.56492900,0.56318400,0.56307100,0.56307600
