E[1] [eV],Re(eps)_ecutwfc_30,Re(eps)_ecutwfc_40,Re(eps)_ecutwfc_50,Re(eps)_ecutwfc_60,Re(eps)_ecutwfc_70,Re(eps)_ecutwfc_80,Re(eps)_ecutwfc_90,Re(eps)_ecutwfc_100
5.000000,2.65203200,2.56906200,2.55697900,2.56429300,2.56729300,2.56814000,2.56821100,2.56819700
5.037593,2.65130900,2.61591100,2.60795600,2.60624200,2.60575600,2.60572400,2.60573100,2.60572600
5.075188,2.52382100,2.56823100,2.57313500,2.54948800,2.54032700,2.53802000,2.53786300,2.53788600
5.112782,2.31450400,2.38423100,2.39977700,2.36285700,2.34912000,2.34555000,2.34530300,2.34534100
5.150376,2.14070900,2.17025000,2.18815100,2.15977100,2.14964800,2.14686800,2.14667600,2.14670600
5.187970,2.05742500,2.03494700,2.04961000,2.03789700,2.03451600,2.03347300,2.03340700,2.03341700
5.225564,2.08488000,2.02430800,2.03109600,2.03586800,2.03908400,2.03983200,2.03989800,2.03988900
5.263157,2.17293300,2.10128300,2.10492200,2.11640500,2.12224900,2.12370300,2.12382400,2.12380600
5.300752,2.29651900,2.20976200,2.21239800,2.22748900,2.23499600,2.23692700,2.23708500,2.23706200
5.338346,2.46682300,2.35790200,2.35680900,2.37757600,2.38716500,2.38969600,2.38989600,2.38986400
5.375940,2.63710900,2.53023800,2.52528200,2.54519700,2.55340000,2.55560100,2.55576900,2.55574100
5.413534,2.69888100,2.64141500,2.63176700,2.63648700,2.63627500,2.63632100,2.63631700,2.63631400
5.451128,2.53606200,2.56690800,2.54826000,2.52317000,2.50869500,2.50514200,2.50485300,2.50489400
5.488721,2.19460200,2.27819700,2.24630700,2.19805300,2.17574200,2.17029000,2.16986300,2.16992400
5.526316,1.87168800,1.93453400,1.89524900,1.84897500,1.83119800,1.82699300,1.82667400,1.82671900
5.563910,1.67684500,1.70136800,1.67210000,1.64972400,1.64311300,1.64169900,1.64159800,1.64161200
5.601503,1.56231600,1.62031600,1.60903600,1.60443900,1.60326100,1.60302700,1.60301100,1.60301800
5.639097,1.41465500,1.56192100,1.55829200,1.54862700,1.54321800,1.54174600,1.54163300,1.54166100
5.676692,1.22506200,1.41519200,1.40840900,1.39002500,1.38015200,1.37747400,1.37727300,1.37731600
