ecutwfc_1,ecutwfc_2,N_common_energy_points,rms
30,40,400,0.065939523
30,50,400,0.081413563
30,60,400,0.080524469
30,70,400,0.078555813
30,80,400,0.078058859
30,90,400,0.077965017
30,100,400,0.077904016
40,50,400,0.051270274
40,60,400,0.046724447
40,70,400,0.042932519
40,80,400,0.042228411
40,90,400,0.042093967
40,100,400,0.041994172
50,60,400,0.034056724
50,70,400,0.041878841
50,80,400,0.043361007
50,90,400,0.043599215
50,100,400,0.043744420
60,70,400,0.014329670
60,80,400,0.017694329
60,90,400,0.018286146
60,100,400,0.018706922
70,80,400,0.003819470
70,90,400,0.004513753
70,100,400,0.005024546
80,90,400,0.000704781
80,100,400,0.001230829
90,100,400,0.000530008
