ecutwfc_1,ecutwfc_2,N_common_energy_points,rms
30,40,400,0.063795866
30,50,400,0.078823165
30,60,400,0.077796939
30,70,400,0.075755348
30,80,400,0.075247968
30,90,400,0.075152218
30,100,400,0.075088851
40,50,400,0.051118947
40,60,400,0.046492612
40,70,400,0.042731708
40,80,400,0.042040859
40,90,400,0.041908421
40,100,400,0.041809366
50,60,400,0.034153066
50,70,400,0.042018183
50,80,400,0.043509739
50,90,400,0.043749156
50,100,400,0.043894936
60,70,400,0.014340652
60,80,400,0.017707238
60,90,400,0.018298822
60,100,400,0.018719152
70,80,400,0.003821122
70,90,400,0.004515145
70,100,400,0.005025562
80,90,400,0.000704679
80,100,400,0.001230582
90,100,400,0.000529879
