E[1] [eV],Im(eps)_nbnd_20,Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80,Im(eps)_nbnd_90,Im(eps)_nbnd_100
5.000000,0.65532100,0.65534800,0.65535800,0.65536300,0.65536500,0.65536700,0.65536900,0.65536900,0.65536900
5.037593,0.82713900,0.82716600,0.82717600,0.82718200,0.82718300,0.82718500,0.82718600,0.82718700,0.82718700
5.075188,1.09098500,1.09101100,1.09102200,1.09102700,1.09102800,1.09103000,1.09103100,1.09103200,1.09103300
5.112782,1.49863700,1.49866300,1.49867400,1.49867800,1.49868200,1.49868200,1.49868500,1.49868400,1.49868400
5.150376,2.10259300,2.10262000,2.10262900,2.10263700,2.10263700,2.10263800,2.10264100,2.10263900,2.10264000
5.187970,2.83325700,2.83328300,2.83329400,2.83329800,2.83330000,2.83330200,2.83330200,2.83330400,2.83330200
5.225564,3.28893400,3.28896000,3.28897000,3.28897300,3.28897800,3.28897800,3.28898100,3.28898200,3.28898100
5.263157,3.16046700,3.16049300,3.16050300,3.16050900,3.16051100,3.16051300,3.16051400,3.16051300,3.16051300
5.300752,2.85508000,2.85510600,2.85511700,2.85512100,2.85512300,2.85512600,2.85512600,2.85512700,2.85512700
5.338346,2.71703900,2.71706500,2.71707700,2.71708100,2.71708400,2.71708500,2.71708700,2.71708600,2.71708700
5.375940,2.55737300,2.55739900,2.55741100,2.55741600,2.55741800,2.55742000,2.55742100,2.55742000,2.55742100
5.413534,2.13986600,2.13989400,2.13990500,2.13991000,2.13991200,2.13991300,2.13991500,2.13991500,2.13991500
5.451128,1.65201600,1.65204300,1.65205400,1.65205800,1.65206100,1.65206300,1.65206400,1.65206400,1.65206400
5.488721,1.29536300,1.29539000,1.29540100,1.29540500,1.29540700,1.29540900,1.29541000,1.29541000,1.29541100
5.526316,1.09304700,1.09307300,1.09308500,1.09308900,1.09309100,1.09309300,1.09309400,1.09309500,1.09309500
5.563910,1.01831100,1.01833800,1.01834900,1.01835300,1.01835500,1.01835800,1.01835800,1.01835900,1.01835900
5.601503,1.05477600,1.05480300,1.05481400,1.05481900,1.05482100,1.05482300,1.05482400,1.05482400,1.05482500
5.639097,1.18655700,1.18658400,1.18659500,1.18659900,1.18660200,1.18660400,1.18660500,1.18660500,1.18660500
5.676692,1.33461800,1.33464600,1.33465700,1.33466100,1.33466300,1.33466600,1.33466600,1.33466700,1.33466700
5.714285,1.34854900,1.34857600,1.34858700,1.34859200,1.34859400,1.34859600,1.34859700,1.34859700,1.34859800
5.751880,1.24066400,1.24069100,1.24070200,1.24070700,1.24070900,1.24071100,1.24071200,1.24071200,1.24071300
5.789474,1.17362700,1.17365400,1.17366500,1.17367000,1.17367200,1.17367400,1.17367500,1.17367500,1.17367600
5.827067,1.23730400,1.23733100,1.23734300,1.23734800,1.23735000,1.23735200,1.23735300,1.23735300,1.23735400
5.864661,1.46915100,1.46917800,1.46919000,1.46919400,1.46919600,1.46919900,1.46919900,1.46920000,1.46920100
5.902255,1.89478400,1.89481100,1.89482400,1.89482700,1.89482900,1.89483100,1.89483300,1.89483200,1.89483300
5.939849,2.43018300,2.43021200,2.43022300,2.43022700,2.43023100,2.43023200,2.43023300,2.43023300,2.43023400
5.977444,2.68660300,2.68663000,2.68664200,2.68664700,2.68664900,2.68665100,2.68665200,2.68665200,2.68665300
6.015037,2.34810500,2.34813200,2.34814300,2.34814900,2.34815100,2.34815300,2.34815400,2.34815400,2.34815500
6.052631,1.75607800,1.75610600,1.75611700,1.75612300,1.75612400,1.75612600,1.75612800,1.75612800,1.75612900
6.090225,1.27141900,1.27144700,1.27145800,1.27146300,1.27146500,1.27146700,1.27146800,1.27146900,1.27146900
6.127820,0.95015800,0.95018600,0.95019700,0.95020200,0.95020400,0.95020600,0.95020700,0.95020700,0.95020800
6.165413,0.74547200,0.74550000,0.74551200,0.74551600,0.74551800,0.74552000,0.74552100,0.74552200,0.74552200
6.203007,0.61557900,0.61560700,0.61561800,0.61562300,0.61562500,0.61562700,0.61562800,0.61562900,0.61562900
6.240601,0.53683600,0.53686400,0.53687600,0.53688000,0.53688200,0.53688400,0.53688500,0.53688600,0.53688600
6.278195,0.49611800,0.49614600,0.49615700,0.49616200,0.49616400,0.49616600,0.49616700,0.49616800,0.49616800
6.315789,0.48751600,0.48754500,0.48755600,0.48756100,0.48756300,0.48756500,0.48756600,0.48756600,0.48756700
6.353383,0.51158500,0.51161400,0.51162500,0.51163000,0.51163200,0.51163400,0.51163500,0.51163500,0.51163600
6.390977,0.57594300,0.57597100,0.57598300,0.57598700,0.57598900,0.57599100,0.57599200,0.57599300,0.57599300
6.428571,0.69722100,0.69725000,0.69726100,0.69726600,0.69726800,0.69727000,0.69727100,0.69727200,0.69727200
6.466165,0.90087900,0.90090700,0.90091800,0.90092300,0.90092500,0.90092700,0.90092800,0.90092900,0.90092900
6.503759,1.19872700,1.19875500,1.19876700,1.19877200,1.19877300,1.19877600,1.19877700,1.19877800,1.19877800
6.541353,1.49585100,1.49588000,1.49589100,1.49589600,1.49589800,1.49590000,1.49590200,1.49590200,1.49590200
6.578947,1.54217100,1.54219900,1.54221100,1.54221500,1.54221700,1.54222000,1.54222100,1.54222100,1.54222100
6.616541,1.29564100,1.29567000,1.29568200,1.29568700,1.29568900,1.29569100,1.29569200,1.29569200,1.29569300
6.654135,1.00015600,1.00018500,1.00019600,1.00020100,1.00020300,1.00020500,1.00020600,1.00020600,1.00020700
6.691729,0.79106400,0.79109300,0.79110400,0.79110900,0.79111100,0.79111300,0.79111400,0.79111500,0.79111500
6.729323,0.68106600,0.68109500,0.68110600,0.68111100,0.68111300,0.68111500,0.68111600,0.68111700,0.68111700
6.766917,0.65661200,0.65664100,0.65665300,0.65665800,0.65666000,0.65666200,0.65666300,0.65666300,0.65666400
6.804511,0.70755600,0.70758500,0.70759700,0.70760200,0.70760400,0.70760600,0.70760700,0.70760700,0.70760800
6.842104,0.80895100,0.80898000,0.80899200,0.80899700,0.80899900,0.80900100,0.80900200,0.80900300,0.80900300
6.879699,0.88417800,0.88420800,0.88421900,0.88422400,0.88422600,0.88422800,0.88422900,0.88423000,0.88423000
6.917293,0.88545200,0.88548200,0.88549300,0.88549800,0.88550000,0.88550200,0.88550300,0.88550400,0.88550400
6.954887,0.88758700,0.88761700,0.88762800,0.88763300,0.88763500,0.88763700,0.88763800,0.88763900,0.88763900
6.992481,0.92814500,0.92817500,0.92818600,0.92819100,0.92819300,0.92819600,0.92819700,0.92819700,0.92819700
7.030074,0.90863900,0.90866800,0.90868000,0.90868500,0.90868700,0.90868900,0.90869000,0.90869100,0.90869100
7.067669,0.75644000,0.75647000,0.75648100,0.75648600,0.75648800,0.75649000,0.75649100,0.75649200,0.75649200
7.105263,0.56680300,0.56683300,0.56684500,0.56685000,0.56685200,0.56685400,0.56685500,0.56685500,0.56685600
7.142857,0.41941500,0.41944500,0.41945700,0.41946200,0.41946400,0.41946600,0.41946700,0.41946700,0.41946800
7.180451,0.31996500,0.31999500,0.32000700,0.32001200,0.32001400,0.32001600,0.32001700,0.32001800,0.32001800
7.218045,0.25395200,0.25398200,0.25399400,0.25399800,0.25400000,0.25400200,0.25400300,0.25400400,0.25400400
7.255639,0.20916600,0.20919600,0.20920800,0.20921300,0.20921500,0.20921700,0.20921800,0.20921900,0.20921900
7.293232,0.17793700,0.17796700,0.17797900,0.17798400,0.17798600,0.17798800,0.17798900,0.17799000,0.17799000
7.330826,0.15562700,0.15565700,0.15566900,0.15567400,0.15567600,0.15567800,0.15567900,0.15567900,0.15568000
7.368421,0.13928400,0.13931400,0.13932600,0.13933100,0.13933300,0.13933500,0.13933600,0.13933700,0.13933700
7.406014,0.12720500,0.12723600,0.12724800,0.12725300,0.12725500,0.12725700,0.12725800,0.12725800,0.12725900
7.443608,0.11880200,0.11883200,0.11884400,0.11884900,0.11885100,0.11885300,0.11885400,0.11885500,0.11885500
7.481203,0.11398400,0.11401500,0.11402700,0.11403100,0.11403300,0.11403600,0.11403700,0.11403700,0.11403800
7.518797,0.11282000,0.11285000,0.11286200,0.11286700,0.11286900,0.11287100,0.11287300,0.11287300,0.11287300
7.556391,0.11467000,0.11470100,0.11471300,0.11471800,0.11472000,0.11472200,0.11472300,0.11472400,0.11472400
7.593984,0.11594700,0.11597700,0.11598900,0.11599400,0.11599600,0.11599800,0.11600000,0.11600000,0.11600100
7.631578,0.11218000,0.11221100,0.11222300,0.11222700,0.11223000,0.11223200,0.11223300,0.11223300,0.11223400
7.669173,0.10586000,0.10589200,0.10590400,0.10590800,0.10591100,0.10591300,0.10591400,0.10591400,0.10591500
7.706767,0.10179200,0.10182300,0.10183500,0.10184000,0.10184200,0.10184400,0.10184600,0.10184600,0.10184600
7.744360,0.10158100,0.10161200,0.10162400,0.10162900,0.10163100,0.10163300,0.10163400,0.10163500,0.10163500
7.781955,0.10549200,0.10552300,0.10553500,0.10554000,0.10554200,0.10554400,0.10554500,0.10554600,0.10554600
7.819549,0.11383000,0.11386200,0.11387400,0.11387900,0.11388100,0.11388300,0.11388400,0.11388400,0.11388500
7.857142,0.12693400,0.12696600,0.12697800,0.12698300,0.12698500,0.12698700,0.12698800,0.12698800,0.12698900
7.894736,0.14476900,0.14480100,0.14481300,0.14481800,0.14482000,0.14482200,0.14482300,0.14482400,0.14482400
7.932330,0.16474800,0.16478000,0.16479200,0.16479700,0.16479900,0.16480100,0.16480200,0.16480300,0.16480300
7.969924,0.18480600,0.18483800,0.18485000,0.18485500,0.18485700,0.18485900,0.18486000,0.18486100,0.18486100
8.007519,0.21357000,0.21360200,0.21361500,0.21362000,0.21362200,0.21362400,0.21362500,0.21362500,0.21362600
8.045113,0.26459900,0.26463100,0.26464300,0.26464800,0.26465100,0.26465300,0.26465400,0.26465400,0.26465500
8.082706,0.35079000,0.35082200,0.35083400,0.35083900,0.35084100,0.35084300,0.35084400,0.35084500,0.35084500
8.120299,0.47909100,0.47912300,0.47913600,0.47914100,0.47914300,0.47914500,0.47914600,0.47914700,0.47914700
8.157894,0.61475800,0.61479100,0.61480300,0.61480800,0.61481000,0.61481200,0.61481300,0.61481400,0.61481400
8.195488,0.64802100,0.64805300,0.64806600,0.64807100,0.64807300,0.64807500,0.64807600,0.64807700,0.64807700
8.233082,0.53947100,0.53950300,0.53951500,0.53952000,0.53952300,0.53952500,0.53952600,0.53952600,0.53952700
8.270677,0.39607400,0.39610700,0.39611900,0.39612400,0.39612600,0.39612800,0.39613000,0.39613000,0.39613000
8.308270,0.28641200,0.28644500,0.28645700,0.28646200,0.28646400,0.28646600,0.28646700,0.28646800,0.28646800
8.345864,0.21344400,0.21347700,0.21348900,0.21349400,0.21349600,0.21349800,0.21350000,0.21350000,0.21350000
8.383458,0.16597400,0.16600700,0.16602000,0.16602500,0.16602700,0.16602900,0.16603000,0.16603100,0.16603100
8.421052,0.13494100,0.13497400,0.13498600,0.13499100,0.13499400,0.13499600,0.13499700,0.13499700,0.13499800
8.458646,0.11443200,0.11446500,0.11447800,0.11448300,0.11448500,0.11448700,0.11448800,0.11448900,0.11448900
8.496240,0.10089600,0.10092900,0.10094200,0.10094700,0.10094900,0.10095100,0.10095200,0.10095200,0.10095300
8.533834,0.09230100,0.09233500,0.09234700,0.09235200,0.09235400,0.09235600,0.09235800,0.09235800,0.09235800
8.571428,0.08754000,0.08757400,0.08758700,0.08759200,0.08759400,0.08759600,0.08759700,0.08759800,0.08759800
8.609021,0.08591700,0.08595100,0.08596400,0.08596900,0.08597100,0.08597300,0.08597400,0.08597500,0.08597500
8.646616,0.08654400,0.08657700,0.08659000,0.08659500,0.08659700,0.08659900,0.08660000,0.08660100,0.08660100
8.684210,0.08873400,0.08876800,0.08878100,0.08878600,0.08878800,0.08879000,0.08879100,0.08879200,0.08879200
8.721804,0.09359800,0.09363200,0.09364400,0.09364900,0.09365200,0.09365400,0.09365500,0.09365500,0.09365600
8.759398,0.10320100,0.10323500,0.10324800,0.10325300,0.10325500,0.10325700,0.10325800,0.10325900,0.10325900
8.796992,0.11965300,0.11968700,0.11970000,0.11970500,0.11970700,0.11970900,0.11971100,0.11971100,0.11971100
8.834586,0.14610100,0.14613600,0.14614900,0.14615400,0.14615600,0.14615800,0.14615900,0.14616000,0.14616000
8.872180,0.18836400,0.18839900,0.18841100,0.18841700,0.18841900,0.18842100,0.18842200,0.18842300,0.18842300
8.909773,0.25288200,0.25291600,0.25292900,0.25293400,0.25293600,0.25293800,0.25293900,0.25294000,0.25294000
