E[1] [eV],Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80,Re(eps)_nbnd_90,Re(eps)_nbnd_100
5.000000,3.13889000,3.14538400,3.14885500,3.15040400,3.15123600,3.15219700,3.15274600,3.15303500,3.15326500
5.037593,3.32920400,3.33570200,3.33917500,3.34072500,3.34155600,3.34251700,3.34306500,3.34335700,3.34358500
5.075188,3.53125800,3.53776000,3.54123500,3.54278400,3.54361500,3.54457700,3.54512500,3.54541500,3.54564400
5.112782,3.70923400,3.71573700,3.71921300,3.72076200,3.72159600,3.72255700,3.72310600,3.72339600,3.72362500
5.150376,3.75284900,3.75935700,3.76283300,3.76438500,3.76521600,3.76617800,3.76672600,3.76701600,3.76724600
5.187970,3.43507400,3.44158700,3.44506500,3.44661400,3.44744800,3.44841000,3.44895900,3.44924800,3.44947800
5.225564,2.64957300,2.65608900,2.65956900,2.66112000,2.66195200,2.66291600,2.66346400,2.66375400,2.66398300
5.263157,1.87313500,1.87965500,1.88313700,1.88468800,1.88552100,1.88648300,1.88703300,1.88732300,1.88755200
5.300752,1.49586800,1.50239400,1.50587600,1.50742800,1.50826100,1.50922400,1.50977300,1.51006300,1.51029200
5.338346,1.25205300,1.25858100,1.26206400,1.26361700,1.26445100,1.26541400,1.26596200,1.26625300,1.26648200
5.375940,0.86973600,0.87627000,0.87975400,0.88130600,0.88213900,0.88310400,0.88365200,0.88394300,0.88417100
5.413534,0.54789900,0.55443600,0.55792100,0.55947500,0.56030800,0.56127200,0.56182100,0.56211200,0.56234100
5.451128,0.51300100,0.51954200,0.52302900,0.52458400,0.52541700,0.52638100,0.52693000,0.52722100,0.52745000
5.488721,0.67441600,0.68096100,0.68445000,0.68600400,0.68683800,0.68780100,0.68835100,0.68864100,0.68887000
5.526316,0.90358300,0.91013200,0.91362200,0.91517700,0.91601200,0.91697500,0.91752400,0.91781500,0.91804400
5.563910,1.13814400,1.14469800,1.14818900,1.14974400,1.15057900,1.15154300,1.15209300,1.15238300,1.15261200
5.601503,1.34238600,1.34894300,1.35243600,1.35399200,1.35482700,1.35579100,1.35634100,1.35663100,1.35686100
5.639097,1.46459200,1.47115300,1.47464800,1.47620400,1.47703900,1.47800300,1.47855200,1.47884300,1.47907300
5.676692,1.44003700,1.44660300,1.45009900,1.45165600,1.45249000,1.45345500,1.45400500,1.45429500,1.45452500
5.714285,1.32591100,1.33248100,1.33597900,1.33753600,1.33837100,1.33933600,1.33988600,1.34017600,1.34040600
5.751880,1.31283900,1.31941400,1.32291200,1.32447100,1.32530600,1.32627100,1.32682100,1.32711200,1.32734100
5.789474,1.44326200,1.44984000,1.45334100,1.45489900,1.45573500,1.45670000,1.45725000,1.45754100,1.45777000
5.827067,1.64051500,1.64709800,1.65060000,1.65215800,1.65299500,1.65396000,1.65451000,1.65480100,1.65503000
