nbnd_1,nbnd_2,N_common_energy_points,rms
20,30,400,0.001735873
20,40,400,0.001747736
20,50,400,0.001751374
20,60,400,0.001752618
20,70,400,0.001753666
20,80,400,0.001754181
20,90,400,0.001754456
20,100,400,0.001754618
30,40,400,0.000020968
30,50,400,0.000028111
30,60,400,0.000030785
30,70,400,0.000033206
30,80,400,0.000034432
30,90,400,0.000035023
30,100,400,0.000035445
40,50,400,0.000007192
40,60,400,0.000009891
40,70,400,0.000012345
40,80,400,0.000013596
40,90,400,0.000014192
40,100,400,0.000014622
50,60,400,0.000002755
50,70,400,0.000005205
50,80,400,0.000006459
50,90,400,0.000007059
50,100,400,0.000007488
60,70,400,0.000002504
60,80,400,0.000003756
60,90,400,0.000004351
60,100,400,0.000004783
70,80,400,0.000001350
70,90,400,0.000001914
70,100,400,0.000002334
80,90,400,0.000000794
80,100,400,0.000001114
90,100,400,0.000000671
