nbnd_1,nbnd_2,N_common_energy_points,rms
20,30,400,0.009976592
20,40,400,0.014084312
20,50,400,0.015847529
20,60,400,0.016749395
20,70,400,0.017762195
20,80,400,0.018333071
20,90,400,0.018633345
20,100,400,0.018868569
30,40,400,0.004168562
30,50,400,0.005954481
30,60,400,0.006869763
30,70,400,0.007898507
30,80,400,0.008478227
30,90,400,0.008783122
30,100,400,0.009022000
40,50,400,0.001786515
40,60,400,0.002702680
40,70,400,0.003732844
40,80,400,0.004313420
40,90,400,0.004618779
40,100,400,0.004858041
50,60,400,0.000916524
50,70,400,0.001947276
50,80,400,0.002528169
50,90,400,0.002833696
50,100,400,0.003073097
60,70,400,0.001030851
60,80,400,0.001611802
60,90,400,0.001917361
60,100,400,0.002156793
70,80,400,0.000580964
70,90,400,0.000886533
70,100,400,0.001125978
80,90,400,0.000305572
80,100,400,0.000545021
90,100,400,0.000239451
