E[1] [eV],Im(eps)_nk_20,Im(eps)_nk_22,Im(eps)_nk_24,Im(eps)_nk_26,Im(eps)_nk_28,Im(eps)_nk_30,Im(eps)_nk_32,Im(eps)_nk_34,Im(eps)_nk_36,Im(eps)_nk_38,Im(eps)_nk_40
5.000000,1.62070300,0.90941000,0.93834200,1.05758100,1.38823600,1.31413700,1.07984100,1.02225500,1.14947300,1.26041000,1.23913700
5.037593,1.86288600,1.11788000,0.89302400,1.02087200,1.27915100,1.44737400,1.21965900,1.06298500,1.08220700,1.22649700,1.31050100
5.075188,1.81631600,1.44808500,0.92870600,1.00247300,1.13847200,1.44904200,1.41241100,1.16039700,1.06920300,1.16372500,1.29689600
5.112782,1.57024500,1.81190300,1.07800800,0.97084200,1.06581500,1.34525400,1.52958900,1.33165500,1.13317200,1.11403300,1.23868100
5.150376,1.37101900,1.99510300,1.36236700,0.98913400,1.04610400,1.20579300,1.50321300,1.52975500,1.26854000,1.13459900,1.17801900
5.187970,1.29465400,1.88569400,1.75467300,1.11610800,1.03347600,1.12279300,1.38293800,1.61097600,1.47755400,1.23770400,1.16437200
5.225564,1.23891800,1.63179000,2.06879400,1.38468400,1.06770200,1.09774300,1.24986900,1.53883600,1.65882100,1.42652600,1.23636500
5.263157,1.10772900,1.44345300,2.07162200,1.78567200,1.21442600,1.10203700,1.17820400,1.39692500,1.66802300,1.65776700,1.40176800
5.300752,0.96770900,1.33386000,1.83270200,2.14881500,1.51133100,1.17995300,1.16277300,1.28336400,1.53907000,1.76099800,1.64450000
5.338346,0.89726600,1.20901500,1.59622600,2.18539300,1.93019800,1.39118800,1.20934900,1.24016100,1.39989300,1.66748900,1.81816300
5.375940,0.91456600,1.08728200,1.42771400,1.94275500,2.25536900,1.75029200,1.37405700,1.27068300,1.33142500,1.51634300,1.77493000
5.413534,1.02630100,1.04412500,1.28370300,1.68463200,2.22532100,2.14428500,1.68368100,1.41768400,1.35429800,1.43223800,1.62706400
5.451128,1.25378700,1.11197900,1.20586400,1.48857900,1.96399100,2.31513200,2.05472400,1.70188800,1.50319800,1.45891000,1.54159600
5.488721,1.62918300,1.31013700,1.25148100,1.38553100,1.71334100,2.18132800,2.28395600,2.03181300,1.77571500,1.62298000,1.58710000
5.526316,2.13630300,1.65645700,1.44658400,1.42993700,1.58963300,1.94385100,2.27915500,2.24268300,2.05609300,1.88110500,1.76900100
5.563910,2.58978500,2.09820100,1.78422200,1.63959400,1.64828700,1.82565800,2.14904700,2.30737900,2.22998800,2.10468000,1.99490700
5.601503,2.78265900,2.43169800,2.14688100,1.95296400,1.86502700,1.90055800,2.08574300,2.31551700,2.34226100,2.25788100,2.17046900
5.639097,2.81646800,2.55752800,2.35474200,2.20048300,2.10076000,2.07286500,2.14536400,2.32500000,2.44752000,2.40717100,2.32387200
5.676692,2.79559400,2.60997200,2.44300300,2.31761900,2.23142400,2.18976100,2.20888000,2.31340100,2.46878200,2.51441400,2.45288600
5.714285,2.74263500,2.61716100,2.47447800,2.35584300,2.26549500,2.20847100,2.19386600,2.23843200,2.35410000,2.47015900,2.47353600
5.751880,2.69696200,2.62199900,2.43552500,2.28865500,2.18034000,2.10955200,2.07766700,2.09039900,2.15915900,2.27745600,2.36032800
5.789474,2.53865600,2.57416600,2.32372100,2.13817100,2.02620200,1.96680500,1.94482600,1.95266100,1.99213400,2.07072100,2.17082200
5.827067,2.15592400,2.31240100,2.15241800,2.00426000,1.92885700,1.89588500,1.87838600,1.86527600,1.86160600,1.88236600,1.94018900
5.864661,1.68881200,1.92928500,1.98564300,1.93131300,1.89735200,1.85929300,1.80419000,1.74542500,1.70398300,1.69650200,1.73152400
5.902255,1.33239600,1.60393400,1.89240600,1.93445400,1.88094800,1.78327000,1.68031000,1.60472300,1.57154100,1.57652900,1.60741600
5.939849,1.13309600,1.42931400,1.84025200,1.95257600,1.82935900,1.67581900,1.56529500,1.51616000,1.50886500,1.51436900,1.51950000
5.977444,1.07337300,1.40660100,1.72962700,1.83816000,1.71167500,1.56472100,1.49472300,1.47847000,1.46916700,1.45133500,1.42894000
6.015037,1.13446800,1.43225700,1.53300400,1.58817000,1.54817100,1.48937000,1.47403400,1.45766200,1.42768300,1.38754500,1.34662700
6.052631,1.26807000,1.36713700,1.31733600,1.30642200,1.40107700,1.47833100,1.47921500,1.44098500,1.38552400,1.31984700,1.28076200
6.090225,1.33584300,1.23648900,1.11182800,1.10308300,1.28937600,1.44511500,1.45708400,1.40733100,1.31908200,1.26172800,1.23597500
6.127820,1.25322300,1.10173700,0.94781700,1.01657000,1.20463900,1.32846500,1.39277400,1.33376700,1.26730400,1.23232800,1.21733700
6.165413,1.13712500,0.95073700,0.86649200,1.01167300,1.10689400,1.20576100,1.26196300,1.25127300,1.23637300,1.21587200,1.22002600
6.203007,1.04927200,0.82516800,0.87182300,0.99796500,1.02565600,1.10248100,1.10405500,1.15301000,1.17790900,1.21087800,1.20968800
6.240601,0.93501800,0.77217600,0.92168600,0.93406300,0.99723700,0.98941900,0.98993200,1.02752700,1.10875700,1.18855800,1.16010900
6.278195,0.80886300,0.79786600,0.92150200,0.89030900,0.96628500,0.90204600,0.89925800,0.92907400,1.05485500,1.10008000,1.06283400
6.315789,0.73396000,0.86959300,0.84798900,0.90640100,0.89585900,0.84762200,0.81514500,0.90219100,0.99589400,0.96705100,0.94481600
6.353383,0.73211800,0.89599800,0.79052300,0.92792700,0.83837200,0.78027700,0.77923900,0.91500100,0.90997300,0.83773900,0.86901300
6.390977,0.79811900,0.82050500,0.80503300,0.89205200,0.79759600,0.71192400,0.80929000,0.90135900,0.80213200,0.75936100,0.85486800
6.428571,0.87897000,0.72380300,0.87882900,0.84134400,0.72754200,0.69237200,0.86616000,0.83248400,0.70923200,0.75182300,0.85591100
6.466165,0.86516900,0.68437100,0.93248500,0.80012400,0.65204900,0.73962500,0.88037100,0.72803700,0.67270000,0.78801000,0.81879700
6.503759,0.75174600,0.72448800,0.91393400,0.72463300,0.62200400,0.82879000,0.81703000,0.64660000,0.69983400,0.80451200,0.73976700
6.541353,0.64472700,0.83970300,0.86649500,0.63290000,0.65636500,0.88506600,0.70685300,0.62453400,0.75505700,0.76958000,0.67078700
6.578947,0.59821400,0.97604200,0.78772200,0.57825300,0.75295600,0.84738600,0.62260800,0.66122300,0.77317500,0.70363300,0.65092400
6.616541,0.62110900,1.02977700,0.67668800,0.58108800,0.86415300,0.74040000,0.59746400,0.72247900,0.74660600,0.65006800,0.66476900
6.654135,0.71924400,0.97057800,0.58964000,0.64489900,0.89213600,0.64434500,0.62582200,0.74780300,0.70497600,0.63605700,0.67080200
6.691729,0.89544900,0.83607000,0.55814300,0.75508500,0.82542300,0.60352000,0.67808000,0.73485500,0.66319300,0.64460700,0.66802500
6.729323,1.09875800,0.70000400,0.58389800,0.85546600,0.73652100,0.61020300,0.71690800,0.72647400,0.63766200,0.65376700,0.68304500
6.766917,1.16830600,0.62155600,0.64583500,0.88537600,0.67354400,0.63114600,0.72947600,0.70769100,0.62978500,0.65802000,0.69508800
6.804511,1.03381100,0.60352400,0.69783700,0.85486500,0.63743500,0.65497400,0.73102800,0.66077400,0.64114000,0.66444600,0.67519900
6.842104,0.84434800,0.59866700,0.72868300,0.79787500,0.59478600,0.68506100,0.72163400,0.61337900,0.63902500,0.66865500,0.63771500
6.879699,0.68243400,0.54774400,0.75805700,0.69008400,0.54305500,0.67342100,0.66366900,0.57747100,0.59724000,0.64360700,0.58614200
6.917293,0.53877700,0.47059200,0.75133700,0.55085700,0.50267300,0.60969200,0.56402100,0.54251800,0.55255000,0.58135800,0.51832400
6.954887,0.42222200,0.41832200,0.68295700,0.43776600,0.49115500,0.55622900,0.47888400,0.49692400,0.53349900,0.51576200,0.46227600
6.992481,0.34036700,0.40888800,0.59809700,0.36804500,0.49647300,0.52708000,0.43603800,0.44690100,0.51987300,0.46003300,0.44311300
7.030074,0.28642700,0.44387000,0.51506400,0.33556700,0.47884400,0.48279200,0.42518200,0.42213600,0.49086500,0.40979100,0.45743100
7.067669,0.25318900,0.51178200,0.42379700,0.33340600,0.44237000,0.42269100,0.41257900,0.43275800,0.45410600,0.37983900,0.47912400
7.105263,0.23626800,0.56269800,0.34457400,0.35807400,0.42739700,0.38196900,0.38008000,0.45784600,0.41208200,0.38167100,0.48133400
7.142857,0.23388600,0.54372000,0.29251400,0.39724800,0.43944300,0.37180800,0.35307800,0.46542600,0.36743200,0.41178900,0.45024000
7.180451,0.24714200,0.49016700,0.26561900,0.41215300,0.44052000,0.37609800,0.35447900,0.44948800,0.33947100,0.44644100,0.39964400
7.218045,0.28023300,0.44743600,0.25862300,0.38503000,0.40557200,0.36275000,0.38646800,0.41221800,0.33980600,0.45558300,0.36514800
7.255639,0.33932700,0.40035600,0.27078900,0.35609900,0.36719500,0.32858700,0.43067600,0.36223600,0.36906700,0.43611100,0.36169600
7.293232,0.42394400,0.33638500,0.30477000,0.35645700,0.35291700,0.30339100,0.45594300,0.32398400,0.41221400,0.40035800,0.37861000
7.330826,0.49927600,0.27976900,0.35189600,0.38625300,0.35636600,0.30415700,0.44718400,0.31172200,0.43356600,0.36944300,0.39338300
7.368421,0.49993900,0.24396200,0.37456000,0.41578700,0.34680400,0.33469500,0.40133000,0.32751800,0.42501900,0.35975400,0.39736800
7.406014,0.43980300,0.22639200,0.34804000,0.40659100,0.31174900,0.39127000,0.34611700,0.36428700,0.41380200,0.36396300,0.40368200
7.443608,0.39020300,0.22486700,0.30871700,0.37686400,0.27829500,0.44689300,0.31244400,0.39979800,0.40003100,0.37521400,0.41703800
7.481203,0.37273600,0.24206000,0.29051900,0.36211900,0.26566000,0.46012400,0.30731700,0.41142800,0.37972000,0.38801800,0.41785100
7.518797,0.35775300,0.28029500,0.30220300,0.35739300,0.27784900,0.42458600,0.32493600,0.40902400,0.35913100,0.38255100,0.39063500
7.556391,0.31603600,0.32924600,0.34418600,0.33227600,0.31739200,0.37177700,0.34764600,0.41421500,0.34681000,0.36077800,0.34755700
7.593984,0.26648500,0.34985600,0.40043700,0.28956600,0.38145400,0.33619100,0.36589000,0.40762200,0.33859000,0.34254800,0.31084800
7.631578,0.23077400,0.31854300,0.42961800,0.25815400,0.43936500,0.32650700,0.38450600,0.36420600,0.32170400,0.33098600,0.27928700
7.669173,0.21171100,0.27260300,0.42090200,0.25006800,0.44864700,0.32553800,0.38241700,0.30668700,0.29280200,0.31384800,0.25079500
7.706767,0.21005600,0.24406300,0.40076800,0.26541800,0.42457500,0.31304500,0.35052400,0.26551600,0.26696200,0.29147200,0.23699500
7.744360,0.22841000,0.23909500,0.36381900,0.29973600,0.39837900,0.29198100,0.32018700,0.24947600,0.25899700,0.27021700,0.24377900
7.781955,0.26810600,0.25943600,0.31154700,0.33680400,0.35978700,0.27599300,0.30029500,0.24954000,0.26812700,0.24579400,0.26637500
7.819549,0.31659200,0.30944300,0.27299400,0.36085800,0.30270700,0.27384100,0.27163700,0.24474800,0.27933400,0.22060600,0.28852300
7.857142,0.33268500,0.39040000,0.26143600,0.37906100,0.24795800,0.27253000,0.23603600,0.22746600,0.27882100,0.20799400,0.29403400
7.894736,0.29708900,0.47677000,0.27030500,0.37873200,0.21032200,0.25591900,0.21262100,0.21362700,0.26743200,0.21417600,0.28141700
7.932330,0.24955300,0.50120500,0.27397000,0.34425600,0.18853600,0.23809900,0.20829300,0.21436000,0.24499300,0.23755500,0.25749600
7.969924,0.22014600,0.44089100,0.25008200,0.30172000,0.17998900,0.23493300,0.21646200,0.23159600,0.21587300,0.26619500,0.23785600
8.007519,0.21335500,0.35998800,0.21673300,0.26533800,0.18570900,0.24077500,0.21814700,0.25631400,0.19510400,0.27784000,0.23271800
8.045113,0.22834700,0.29899000,0.19723100,0.22720000,0.20383900,0.23365700,0.20343200,0.27115900,0.19146700,0.27229300,0.23627500
8.082706,0.26548400,0.24839400,0.19813900,0.19186300,0.21993500,0.21147400,0.18755700,0.26776300,0.20567700,0.26545600,0.24403600
8.120299,0.31553200,0.20147600,0.21881300,0.16661200,0.21467000,0.19565200,0.18265500,0.24250100,0.23201300,0.25579800,0.25281200
8.157894,0.34939500,0.16562900,0.24861200,0.15157400,0.19734000,0.19618500,0.19252200,0.20941100,0.25496900,0.24271900,0.25055400
8.195488,0.35915900,0.14245400,0.25946900,0.14356000,0.18848800,0.20490100,0.21895500,0.18833500,0.26193200,0.23022100,0.23849300
8.233082,0.36931300,0.12795000,0.24189200,0.14323300,0.19557500,0.20158600,0.25303600,0.18572300,0.26141500,0.22276800,0.22867100
8.270677,0.36577800,0.11818800,0.22226700,0.15375200,0.21251700,0.18361200,0.27102800,0.19857700,0.26452400,0.21659400,0.22255700
8.308270,0.31547000,0.11308400,0.21032800,0.17469700,0.21864800,0.16864500,0.25997600,0.21623100,0.25737400,0.20506800,0.21207600
8.345864,0.24339300,0.11405900,0.19288400,0.19387800,0.20716100,0.16501700,0.23166700,0.23088500,0.22819100,0.18786400,0.19807300
8.383458,0.18480100,0.12236400,0.16864900,0.19137400,0.19816600,0.17362700,0.20654400,0.24335700,0.19303900,0.17505300,0.18439000
8.421052,0.14578100,0.14026600,0.14834600,0.17293400,0.20028200,0.19707600,0.19615700,0.24169000,0.16932500,0.17451300,0.16779500
8.458646,0.12137100,0.17005300,0.13626100,0.15862600,0.19927700,0.23189000,0.19489700,0.22219600,0.16072400,0.18345800,0.15119200
8.496240,0.10672600,0.20542800,0.13018800,0.15671800,0.18426600,0.25753600,0.19019600,0.20378900,0.16046000,0.19104300,0.14364200
8.533834,0.09871300,0.22159000,0.13008800,0.16985500,0.16680800,0.25752500,0.18181900,0.19153800,0.15615700,0.19032000,0.14893500
8.571428,0.09501000,0.20625200,0.13971900,0.19603600,0.15940600,0.24585600,0.17631000,0.17486800,0.14681700,0.18238800,0.16600800
8.609021,0.09273000,0.18520200,0.15989600,0.22051600,0.16577700,0.23046400,0.17763100,0.15451800,0.14344600,0.16676700,0.18556700
8.646616,0.08965100,0.17736800,0.18007100,0.22701500,0.18244800,0.20149300,0.17951000,0.14163900,0.15146800,0.14896000,0.19329300
8.684210,0.08732100,0.17814900,0.17989600,0.22223300,0.20026700,0.16610100,0.17227900,0.14011400,0.16845000,0.13888000,0.19305400
8.721804,0.08863100,0.17201100,0.16200400,0.20889200,0.21081200,0.13901900,0.16234400,0.14470100,0.18522300,0.14044100,0.19341700
8.759398,0.09548500,0.15738400,0.14660100,0.18756900,0.21784800,0.12374500,0.15914800,0.14330000,0.19165400,0.15273100,0.18984700
8.796992,0.10946500,0.14454800,0.14067100,0.17257400,0.21869900,0.11875700,0.16082800,0.13375600,0.18435000,0.16973300,0.18106400
8.834586,0.13208200,0.13832700,0.14417800,0.17064400,0.20362000,0.12327300,0.15723400,0.12725700,0.16578800,0.18141800,0.17185400
8.872180,0.16355200,0.13801400,0.15984100,0.17534100,0.18153600,0.13629100,0.14533200,0.13077300,0.14801300,0.18520300,0.16484700
8.909773,0.19448300,0.14317400,0.19092600,0.17304300,0.16243800,0.15054600,0.13627200,0.14573600,0.13976100,0.18823300,0.15757900
8.947368,0.19948700,0.15664100,0.23219000,0.15862300,0.14159700,0.15250500,0.13581800,0.16906500,0.14227300,0.18983800,0.14683100
8.984962,0.17558700,0.17309600,0.25497100,0.14170900,0.12044400,0.14267700,0.13773700,0.18866700,0.15027500,0.17879400,0.13401700
9.022555,0.15033800,0.17376800,0.23615500,0.13044100,0.10510400,0.13552500,0.13174700,0.19007900,0.15818400,0.15673600,0.12722000
9.060150,0.13904400,0.15609700,0.20042600,0.12937000,0.09674700,0.13716500,0.12099500,0.17689600,0.16615000,0.13728000,0.12996800
9.097744,0.14242900,0.13883300,0.16977300,0.13855500,0.09494100,0.14474700,0.11554300,0.16204400,0.16689900,0.12741100,0.13788900
9.135338,0.15317500,0.13207400,0.14310200,0.15037800,0.09975100,0.14970500,0.11934800,0.15262900,0.15521500,0.12530800,0.14317400
