E[1] [eV],Re(eps)_nk_20,Re(eps)_nk_22,Re(eps)_nk_24,Re(eps)_nk_26,Re(eps)_nk_28,Re(eps)_nk_30,Re(eps)_nk_32,Re(eps)_nk_34,Re(eps)_nk_36,Re(eps)_nk_38,Re(eps)_nk_40
5.000000,2.84903000,2.74832400,2.35167500,2.22185600,2.29236600,2.60275000,2.56999700,2.41780400,2.31133000,2.38062600,2.50666000
5.037593,2.49214100,2.88600000,2.44868900,2.27168700,2.14252600,2.43067200,2.60801500,2.49109200,2.32017900,2.29183900,2.39215500
5.075188,2.07514200,2.91709300,2.60600600,2.30638100,2.12658500,2.23015800,2.54143000,2.55496100,2.39764400,2.26302800,2.28076900
5.112782,1.85786200,2.72489100,2.77299000,2.38031000,2.19220400,2.09166200,2.34958200,2.57578900,2.48495800,2.31010000,2.22923600
5.150376,1.84808600,2.31971100,2.88097900,2.52424200,2.26105900,2.07195500,2.15051100,2.46689100,2.54932800,2.40576700,2.24703800
5.187970,1.87741400,1.92667500,2.80840800,2.69801600,2.34955200,2.14169100,2.03626100,2.24571400,2.53043500,2.49672200,2.33152200
5.225564,1.84669300,1.75056200,2.45885400,2.83077900,2.49696200,2.23136800,2.04174600,2.05803700,2.35384600,2.53642800,2.43657300
5.263157,1.83531700,1.74448100,1.99839900,2.79867700,2.67161200,2.34912700,2.12528800,1.98966200,2.11275800,2.43311000,2.51004300
5.300752,1.93282400,1.75877900,1.72017300,2.46780500,2.79111000,2.51405300,2.23827100,2.03900800,1.97309300,2.18324400,2.46665500
5.338346,2.11165400,1.78480900,1.65699100,1.97576900,2.71428900,2.67503100,2.39072200,2.14828400,1.97898100,1.97945100,2.24255600
5.375940,2.32794400,1.89946500,1.67594200,1.67001700,2.33106400,2.71966500,2.55681900,2.29636000,2.07772900,1.94132600,1.99789200
5.413534,2.55870700,2.09380700,1.75817800,1.59561600,1.85436800,2.50728600,2.63873600,2.45708300,2.22392700,2.02657600,1.92121000
5.451128,2.78099700,2.32121100,1.92906300,1.65173500,1.60223300,2.07471800,2.50952200,2.53557300,2.37210800,2.16796400,1.99246800
5.488721,2.93711700,2.53809100,2.14709200,1.80948200,1.58875600,1.70732500,2.17565000,2.42460700,2.42065500,2.28993600,2.11946600
5.526316,2.90051400,2.67194100,2.34402900,2.01264300,1.72345300,1.58976400,1.83163400,2.16102300,2.29716100,2.28772300,2.19301500
5.563910,2.56868600,2.59880200,2.41999600,2.16337400,1.89099600,1.66359000,1.64483000,1.89531400,2.08438100,2.14860700,2.13278700
5.601503,2.11091900,2.28630200,2.27209300,2.14347500,1.95359200,1.74652200,1.60550300,1.68833600,1.87932300,1.97304500,1.98894500
5.639097,1.73083400,1.94059600,1.97994100,1.93368100,1.82891300,1.68716700,1.54483000,1.50158200,1.63749900,1.76859600,1.81208000
5.676692,1.39893900,1.64779200,1.70135800,1.67296500,1.60007400,1.49785400,1.38116300,1.29125000,1.32409600,1.46446400,1.55431800
5.714285,1.11109200,1.37091000,1.42182000,1.39900700,1.34037500,1.26009700,1.16616700,1.07349700,1.03058300,1.10663900,1.22779300
5.751880,0.79977700,1.10303700,1.14866000,1.13092800,1.09445700,1.04472600,0.98178100,0.90886400,0.84404200,0.83857700,0.92650300
5.789474,0.40535000,0.73943200,0.90066700,0.95081000,0.96207200,0.94501300,0.90136700,0.83560900,0.75925300,0.69969500,0.70632200
5.827067,0.08588900,0.38389400,0.72492200,0.87345600,0.92018100,0.90299900,0.84400900,0.76420500,0.68152200,0.61157100,0.57744800
5.864661,0.02177900,0.23218300,0.64217600,0.83621700,0.86814600,0.81866500,0.74524500,0.67962200,0.62955800,0.59046100,0.55949800
5.902255,0.16007600,0.28011700,0.59973000,0.78081700,0.77017900,0.71348400,0.67426700,0.65867000,0.64820700,0.62400400,0.58174900
5.939849,0.37401100,0.42247900,0.50092000,0.61131600,0.63178600,0.63846100,0.66417400,0.68524700,0.67556100,0.63422000,0.57822300
5.977444,0.58724000,0.52926400,0.34996100,0.37250200,0.49493700,0.60508100,0.68122100,0.69868600,0.66868700,0.62137700,0.57405100
6.015037,0.74330900,0.50552100,0.23883200,0.21367200,0.41980400,0.61305400,0.69106000,0.68472300,0.65038700,0.60975800,0.58336700
6.052631,0.76868300,0.40823900,0.20976400,0.20527600,0.40624600,0.59505800,0.65067400,0.64707700,0.61690200,0.60240800,0.60338700
6.090225,0.64234100,0.35910600,0.24687800,0.31479800,0.41979300,0.49901400,0.56644200,0.57855600,0.58795700,0.61512800,0.62734600
6.127820,0.51429500,0.34676900,0.35438800,0.45022800,0.42587600,0.41606800,0.46417300,0.51421500,0.58557500,0.62633800,0.64579900
6.165413,0.47955400,0.37533200,0.49659100,0.52996500,0.43356300,0.39751100,0.37652700,0.47061000,0.56004500,0.62056400,0.63421200
6.203007,0.46473900,0.47157100,0.61513900,0.53528100,0.48016100,0.39111800,0.36816400,0.43129100,0.52098100,0.59279700,0.58312900
6.240601,0.45393600,0.60054200,0.65320800,0.54801400,0.51809500,0.40538300,0.40818400,0.43089700,0.50555900,0.51952900,0.51466200
6.278195,0.50642200,0.70774900,0.61690400,0.60735700,0.50761400,0.45498500,0.44858600,0.49275000,0.49591400,0.43939000,0.46303100
6.315789,0.61235600,0.73760400,0.61174600,0.65233900,0.50552400,0.49447300,0.51485500,0.56369400,0.47148800,0.41155000,0.47064500
6.353383,0.72428800,0.67733100,0.67770300,0.63015000,0.53447800,0.52527700,0.60934200,0.58062700,0.45132500,0.45174300,0.53090300
6.390977,0.79167600,0.62895600,0.75941200,0.58970000,0.54811700,0.59406700,0.68148300,0.54542000,0.46603400,0.54115800,0.58114200
6.428571,0.76001000,0.67129900,0.78459000,0.58318800,0.56096300,0.69253900,0.68174100,0.50696400,0.53468100,0.62893500,0.57994300
6.466165,0.65833600,0.77232900,0.72353500,0.57220500,0.62283100,0.77355800,0.61732700,0.51837700,0.63236100,0.66297900,0.54942400
6.503759,0.61846700,0.87737900,0.64614200,0.56121600,0.72212800,0.78338200,0.54884700,0.59084300,0.71016700,0.63687800,0.54637200
6.541353,0.67719700,0.92972000,0.59068900,0.60368600,0.82044400,0.70477900,0.54478000,0.68594500,0.72417100,0.60067600,0.59576000
6.578947,0.78662900,0.87012100,0.54343200,0.69361300,0.87173600,0.60127700,0.60963000,0.75777400,0.68534600,0.59763000,0.66104700
6.616541,0.90728600,0.71612700,0.54723500,0.79706300,0.82428700,0.55900800,0.69734700,0.76854400,0.65267800,0.63706700,0.69728000
6.654135,1.00855600,0.56316300,0.61332500,0.88066500,0.70018000,0.59591500,0.76523400,0.72982300,0.64068100,0.68556500,0.70464200
6.691729,1.04044500,0.47866800,0.70549800,0.90290300,0.60583800,0.66477400,0.78596700,0.70155400,0.65114300,0.71268600,0.71574900
6.729323,0.92241300,0.48795400,0.78561800,0.83693700,0.57828100,0.71799600,0.76512500,0.68257700,0.67380900,0.72001600,0.72120500
6.766917,0.65185900,0.54792100,0.81920200,0.72179900,0.59089000,0.73977700,0.72918500,0.64719200,0.69638300,0.71853000,0.69343900
6.804511,0.42100100,0.59687800,0.80225800,0.62040200,0.59968300,0.74468000,0.69230300,0.62188000,0.70100900,0.70978000,0.65562600
6.842104,0.33112000,0.59523200,0.77114500,0.53050700,0.59865700,0.71681200,0.63483600,0.62204400,0.67125700,0.68060100,0.62898400
6.879699,0.31473100,0.57518800,0.71867300,0.45538600,0.61275400,0.65210500,0.56833500,0.62765000,0.64706600,0.63252800,0.61013900
6.917293,0.33827300,0.59879100,0.62947800,0.44705700,0.64783000,0.61677200,0.54812800,0.63031600,0.65761600,0.60339900,0.61576100
6.954887,0.39802300,0.66372700,0.55416300,0.50011600,0.68647600,0.62528500,0.58455700,0.63594800,0.67511900,0.60869700,0.65798000
6.992481,0.47457200,0.74075200,0.52376300,0.57808300,0.69831800,0.62966600,0.64068600,0.66603300,0.67367600,0.63001100,0.71428800
7.030074,0.55382900,0.80362300,0.51291500,0.65874000,0.68961900,0.62190300,0.68118100,0.71787600,0.66778500,0.66778400,0.75310500
7.067669,0.63105000,0.82002900,0.52678400,0.73156700,0.70328900,0.63990400,0.69630400,0.76165900,0.67080800,0.72390900,0.75751000
7.105263,0.70506400,0.76810700,0.57440200,0.78624100,0.73744000,0.68489800,0.71613800,0.77173500,0.68203700,0.78158400,0.73659300
7.142857,0.77608600,0.69723500,0.63948800,0.80446700,0.75435900,0.72935400,0.76077300,0.75504000,0.71246800,0.81818000,0.71453100
7.180451,0.84416800,0.66781100,0.70720800,0.78482700,0.73754500,0.75001500,0.81505600,0.73405900,0.76336600,0.81704700,0.72302200
7.218045,0.90690600,0.66047400,0.77159400,0.77453200,0.72522000,0.75169600,0.85421300,0.72117000,0.81945000,0.79111300,0.76259500
7.255639,0.95498000,0.65001500,0.83017800,0.80067000,0.74506500,0.76956200,0.85676800,0.73345000,0.86157200,0.76820700,0.80708400
7.293232,0.96505600,0.65818500,0.87407000,0.84115500,0.77684300,0.81365500,0.82564300,0.77364600,0.86882400,0.76446500,0.83314900
7.330826,0.90812700,0.69555000,0.88368100,0.86383100,0.79234300,0.86823900,0.78214300,0.82587300,0.84304900,0.78554000,0.83819800
7.368421,0.81463800,0.74673100,0.85315900,0.84649300,0.78656800,0.91606800,0.75423700,0.87306300,0.82207400,0.81461000,0.83860000
7.406014,0.76750600,0.80054100,0.82792100,0.81379300,0.79202900,0.93575200,0.76630100,0.89763300,0.81328100,0.83508600,0.84205500
7.443608,0.77303800,0.85413000,0.84324800,0.80785000,0.82591100,0.90679400,0.80574700,0.88967700,0.80390500,0.84582100,0.83277600
7.481203,0.78419600,0.90359000,0.88507100,0.81807700,0.87556300,0.84513700,0.85010200,0.86591200,0.79961400,0.83884800,0.80391600
7.518797,0.77275100,0.93773700,0.93204100,0.81481000,0.92748900,0.79620100,0.88102300,0.85149300,0.80433800,0.81946000,0.77424800
7.556391,0.76213900,0.93658200,0.96374000,0.80167700,0.96979200,0.78695000,0.89031200,0.83569900,0.81318300,0.81097600,0.76704000
7.593984,0.77945600,0.89581500,0.95552300,0.81151700,0.98119600,0.80760500,0.88842500,0.79802200,0.81437900,0.81521100,0.77814100
7.631578,0.81627500,0.86287100,0.90833200,0.84757800,0.94124700,0.82976100,0.87221500,0.76516200,0.80994400,0.81700600,0.79502800
7.669173,0.86106700,0.87226100,0.86404500,0.89334200,0.87632600,0.83482100,0.83645100,0.76755600,0.81410200,0.81490600,0.82315400
7.706767,0.90845400,0.91009300,0.83165500,0.93487100,0.83280100,0.83139800,0.81358700,0.79760300,0.83666400,0.81871600,0.86196100
7.744360,0.95193900,0.95897200,0.80339600,0.95912700,0.80274800,0.83645100,0.81466500,0.83308800,0.86693100,0.82715300,0.89902300
7.781955,0.97898600,1.00932900,0.80154700,0.95631900,0.77312900,0.85282500,0.81603500,0.85558400,0.88793300,0.83867000,0.92016100
7.819549,0.96895800,1.05013600,0.82830500,0.93812600,0.76216400,0.86791800,0.81448200,0.86283700,0.89017300,0.86291800,0.91783400
7.857142,0.92080500,1.05905000,0.86161600,0.91053200,0.77992200,0.86817500,0.82939800,0.87462600,0.88263600,0.89899000,0.90187300
7.894736,0.88476100,1.00283500,0.87907600,0.86466600,0.81356500,0.86772600,0.86029600,0.90022400,0.87496400,0.93577000,0.88780200
7.932330,0.89134800,0.88775700,0.87038800,0.82668800,0.85119000,0.88261600,0.89224300,0.93103000,0.87198500,0.96072400,0.88714400
7.969924,0.92456100,0.79470100,0.85984400,0.81578500,0.88919700,0.90198800,0.91061300,0.95476100,0.88422200,0.96202600,0.90355700
8.007519,0.96620800,0.76524700,0.87375300,0.81557800,0.92332200,0.90772600,0.91235800,0.95878700,0.91319100,0.94514200,0.92448600
8.045113,1.00641100,0.76716100,0.90580700,0.82256500,0.94414100,0.90077700,0.91690100,0.94410800,0.94858900,0.93369200,0.93941300
8.082706,1.03429200,0.77611700,0.94135400,0.84260700,0.94316300,0.90516100,0.93681700,0.92164900,0.97910700,0.92867700,0.94820400
8.120299,1.03266700,0.79647200,0.96682900,0.87125100,0.93433700,0.92607000,0.96561500,0.90628800,0.99348700,0.92413200,0.94609000
8.157894,0.99991200,0.82756400,0.96673600,0.90171000,0.94122500,0.94822000,0.99544300,0.91426000,0.98706700,0.92379800,0.93627500
8.195488,0.96616700,0.86150700,0.94127600,0.93192600,0.96231800,0.95606700,1.01582400,0.94067100,0.97270200,0.92902000,0.93285900
8.233082,0.93250100,0.89360700,0.92245800,0.96264500,0.98361100,0.95150100,1.01219900,0.97144600,0.96442300,0.93599300,0.93676100
8.270677,0.87472500,0.92426100,0.92274600,0.99048700,0.98986600,0.95623200,0.98380000,0.99421300,0.95353700,0.93866700,0.93847800
8.308270,0.81921700,0.95530600,0.92445800,1.00677000,0.97930800,0.97640400,0.95340100,1.00249500,0.93067900,0.93961900,0.93775700
8.345864,0.80590200,0.98654300,0.92285400,1.00244400,0.97451300,1.00313400,0.94175700,1.00132500,0.91426300,0.94724200,0.94113700
8.383458,0.82523600,1.01692500,0.93031300,0.98848000,0.98372800,1.03051700,0.95097900,0.99047900,0.92025900,0.96557000,0.94728800
8.421052,0.85645800,1.04431700,0.94877300,0.98952600,0.99091900,1.05206500,0.96745500,0.96904600,0.94188600,0.98625600,0.95618100
8.458646,0.88931900,1.06199800,0.97158400,1.00744500,0.98648600,1.05427600,0.97684100,0.95658900,0.96549700,0.99856300,0.97450300
8.496240,0.92031200,1.05703700,0.99497200,1.03287300,0.98459400,1.03024200,0.98017700,0.95869600,0.98087700,0.99881400,1.00066000
8.533834,0.94829100,1.02764400,1.01973200,1.05697600,0.99727300,0.99995300,0.98655000,0.96167600,0.98925100,0.99431000,1.02711600
8.571428,0.97254000,1.00435600,1.04341800,1.06811100,1.01991000,0.98033400,0.99742200,0.96331200,1.00289000,0.99018600,1.04516900
8.609021,0.99307900,1.00542000,1.05753400,1.05742300,1.04246000,0.96232400,1.00679500,0.97442000,1.02412300,0.99071800,1.04689400
8.646616,1.01259300,1.01639800,1.05210200,1.03715200,1.05583300,0.94877100,1.00759800,0.99471600,1.04485800,1.00271300,1.03872400
8.684210,1.03414500,1.02009200,1.03518300,1.02108900,1.05558800,0.95355200,1.00639200,1.01492400,1.05624800,1.02425500,1.03475300
8.721804,1.05782000,1.01635100,1.03168200,1.00784800,1.04763900,0.97360500,1.01350500,1.02630200,1.05318700,1.04774500,1.03150400
8.759398,1.08220700,1.01898700,1.04508800,1.00641200,1.03704100,0.99938400,1.02414600,1.02972300,1.04039900,1.06576200,1.02586200
8.796992,1.10529200,1.03101900,1.06562700,1.01856900,1.01848300,1.02566800,1.02925800,1.03835300,1.02662100,1.07193000,1.02303400
8.834586,1.12357200,1.04725600,1.08880000,1.03196100,1.00029600,1.04929000,1.02771500,1.05668200,1.02269400,1.06758700,1.02520200
8.872180,1.13002100,1.06341600,1.11147100,1.03540300,0.99505000,1.06513600,1.03108800,1.07868900,1.03295900,1.06186000,1.02862000
8.909773,1.11326500,1.07889500,1.12529300,1.02870400,0.99639500,1.06701100,1.04353800,1.09690700,1.05096900,1.05735700,1.03109500
8.947368,1.07858500,1.08965200,1.11386800,1.02540500,1.00069900,1.05968100,1.05628300,1.10266100,1.06787300,1.04633500,1.03429800
8.984962,1.05885900,1.08533000,1.06915100,1.03312300,1.01345100,1.05984300,1.06129400,1.09012400,1.07754400,1.03186200,1.04423700
9.022555,1.06509700,1.06827900,1.02367400,1.04939900,1.03300800,1.07075700,1.06320000,1.06919200,1.08133600,1.02841700,1.06094600
9.060150,1.08384500,1.06130700,1.00599500,1.06839000,1.05516400,1.08337200,1.07332500,1.05695600,1.07924900,1.03873100,1.07688400
9.097744,1.10154400,1.07169300,1.00550000,1.08182600,1.07762700,1.08986400,1.09163500,1.05669400,1.06916000,1.05451800,1.08498200
9.135338,1.10817300,1.09065800,1.01273200,1.08181800,1.09875600,1.08735600,1.11218800,1.06189200,1.06326300,1.06710100,1.08529500
9.172933,1.10464100,1.10969300,1.02779400,1.07262500,1.11550700,1.08447400,1.12966700,1.06539000,1.06855600,1.07396100,1.08242200
9.210526,1.10578500,1.12081900,1.04705600,1.07024300,1.12165700,1.08742300,1.13689500,1.06827000,1.07566900,1.08232600,1.08196500
9.248120,1.11611800,1.11757200,1.06531000,1.07441900,1.11498300,1.08971900,1.12748900,1.07565800,1.07850500,1.09647000,1.08907200
9.285713,1.12791300,1.10388500,1.08123400,1.07603200,1.10819300,1.09039300,1.10781800,1.08785300,1.08272700,1.11237400,1.10193500
9.323307,1.13169800,1.09566300,1.09713300,1.07827200,1.11292400,1.09731400,1.09080100,1.09932100,1.09142700,1.12378400,1.11591000
9.360902,1.11774200,1.09294200,1.11242500,1.08769700,1.12665500,1.11097400,1.07787900,1.10431100,1.10080100,1.12586600,1.12619200
9.398496,1.09154800,1.08129000,1.12551200,1.10258900,1.14050600,1.12718200,1.07049200,1.10703300,1.10711300,1.12042200,1.13019400
9.436090,1.07660800,1.06376000,1.13796300,1.12050800,1.14669400,1.14042300,1.07394600,1.11486200,1.11237400,1.11564300,1.12965600
9.473684,1.07958100,1.05967800,1.14782500,1.13923800,1.14169900,1.14561400,1.08548100,1.12550900,1.12162800,1.12040100,1.12661700
9.511277,1.08790300,1.07096600,1.14768400,1.15482600,1.13003900,1.14535800,1.10131400,1.13229900,1.13536300,1.13297000,1.12079100
9.548872,1.09259200,1.08893000,1.13670900,1.16159600,1.12016900,1.14314800,1.11863900,1.13489400,1.15109400,1.14446100,1.11354300
9.586466,1.09777100,1.10792400,1.12976600,1.15859000,1.11770600,1.13659900,1.13490800,1.13904100,1.16294100,1.14890200,1.11188900
