nk_1,nk_2,N_common_energy_points,rms
20,22,400,0.155615819
20,24,400,0.188983905
20,26,400,0.201047721
20,28,400,0.202291291
20,30,400,0.179986765
20,32,400,0.156510903
20,34,400,0.144490385
20,36,400,0.145018974
20,38,400,0.145370212
20,40,400,0.146909209
22,24,400,0.146521380
22,26,400,0.175342971
22,28,400,0.185961952
22,30,400,0.171468003
22,32,400,0.151926254
22,34,400,0.129656589
22,36,400,0.123833415
22,38,400,0.136373739
22,40,400,0.139805222
24,26,400,0.120607008
24,28,400,0.152670476
24,30,400,0.163400135
24,32,400,0.153365069
24,34,400,0.129393208
24,36,400,0.110038914
24,38,400,0.112797626
24,40,400,0.117300811
26,28,400,0.117427368
26,30,400,0.140106132
26,32,400,0.151820849
26,34,400,0.133759042
26,36,400,0.124690050
26,38,400,0.108862244
26,40,400,0.099557713
28,30,400,0.100313840
28,32,400,0.116607403
28,34,400,0.125214257
28,36,400,0.126924950
28,38,400,0.114602931
28,40,400,0.090607100
30,32,400,0.083988629
30,34,400,0.100547096
30,36,400,0.112760900
30,38,400,0.111857208
30,40,400,0.097689964
32,34,400,0.067744331
32,36,400,0.092404538
32,38,400,0.101257019
32,40,400,0.095636872
34,36,400,0.061511660
34,38,400,0.086023826
34,40,400,0.081878333
36,38,400,0.057478889
36,40,400,0.078761275
38,40,400,0.063680178
