nk_1,nk_2,N_common_energy_points,rms
20,22,400,0.153904678
20,24,400,0.185226162
20,26,400,0.197902595
20,28,400,0.201541126
20,30,400,0.178991016
20,32,400,0.154184282
20,34,400,0.140758776
20,36,400,0.142111172
20,38,400,0.143470690
20,40,400,0.144998316
22,24,400,0.146801432
22,26,400,0.176824438
22,28,400,0.187950070
22,30,400,0.171952516
22,32,400,0.152377655
22,34,400,0.130546107
22,36,400,0.125735994
22,38,400,0.138031251
22,40,400,0.140761405
24,26,400,0.121140184
24,28,400,0.152540305
24,30,400,0.162389863
24,32,400,0.153035365
24,34,400,0.129328742
24,36,400,0.110091631
24,38,400,0.112388070
24,40,400,0.116575935
26,28,400,0.116513959
26,30,400,0.139246558
26,32,400,0.152029238
26,34,400,0.133965880
26,36,400,0.124521033
26,38,400,0.108214829
26,40,400,0.098989658
28,30,400,0.101055369
28,32,400,0.117594149
28,34,400,0.125302085
28,36,400,0.126808235
28,38,400,0.114765328
28,40,400,0.091271678
30,32,400,0.083672074
30,34,400,0.099612477
30,36,400,0.112434283
30,38,400,0.111892919
30,40,400,0.097580166
32,34,400,0.067647700
32,36,400,0.092926587
32,38,400,0.101703216
32,40,400,0.095695278
34,36,400,0.061736085
34,38,400,0.085849905
34,40,400,0.081389003
36,38,400,0.057279560
36,40,400,0.078696731
38,40,400,0.063858211
